Index,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
946,31.2,64.0,15.7,25.3,28.0,13.2,1.59,7.6,485,Moderate
947,23.4,52.5,1.6,10.7,16.9,3.1,1.37,8.1,396,Moderate
948,25.6,49.6,0.1,3.9,22.8,4.9,1.02,13.8,575,Good
949,24.5,45.3,3.6,9.0,24.4,3.8,0.9,11.2,527,Good
950,22.6,76.4,15.6,18.6,24.2,4.7,1.04,12.6,430,Good
951,23.0,40.9,21.6,25.2,21.5,3.4,1.02,14.8,215,Good
952,24.7,71.6,26.6,34.2,24.8,3.2,1.06,10.6,596,Good
953,23.9,43.0,12.2,17.2,14.1,7.2,0.93,10.5,333,Good
954,22.2,56.3,6.7,13.5,21.4,4.9,1.11,12.3,348,Good
955,28.3,75.6,0.1,8.7,10.4,4.0,1.04,12.5,518,Good
956,20.4,43.9,11.8,15.9,25.7,9.0,1.06,13.8,480,Good
957,23.8,52.1,49.8,61.3,32.5,6.3,1.72,5.7,336,Moderate
958,26.1,65.4,10.2,14.0,23.1,7.1,1.01,12.2,379,Good
959,41.9,81.3,11.4,23.3,31.2,11.5,1.98,5.5,459,Poor
960,34.6,65.2,47.0,59.9,24.4,15.6,2.15,7.0,771,Poor
961,45.0,115.0,18.8,45.3,45.3,17.9,2.73,3.3,615,Hazardous
962,33.8,68.1,5.4,13.6,30.6,12.1,1.88,6.8,575,Moderate
963,25.6,57.4,2.2,6.4,12.2,5.0,1.19,18.9,392,Good
964,41.4,61.5,17.6,41.6,32.9,11.4,2.78,4.6,593,Poor
965,34.9,76.2,7.3,17.0,24.4,2.9,1.59,10.2,660,Moderate
966,19.7,62.7,22.4,27.5,19.4,3.1,1.18,10.6,396,Good
967,23.0,44.5,2.3,10.6,13.7,6.3,1.13,11.5,537,Good
968,30.5,76.2,26.8,46.5,40.0,9.3,2.4,9.9,624,Poor
969,39.0,107.1,11.2,29.4,44.6,19.3,3.65,2.8,713,Hazardous
970,22.8,76.0,12.3,22.0,27.1,12.2,1.54,12.1,577,Moderate
971,27.8,56.8,2.5,9.5,12.5,7.0,1.04,12.1,258,Good
972,29.0,81.3,60.0,76.1,24.2,5.8,1.05,6.4,511,Moderate
973,41.8,75.4,23.7,34.7,37.7,6.8,1.42,5.9,527,Poor
974,26.8,91.1,16.6,21.3,25.8,6.4,1.72,7.7,571,Moderate
975,30.7,81.9,0.5,11.4,26.4,20.0,1.71,5.2,650,Moderate
976,30.4,90.7,91.5,98.9,22.1,9.6,1.52,5.3,598,Moderate
977,28.1,93.7,35.0,50.7,46.0,19.4,1.66,4.0,487,Poor
978,25.0,87.3,49.8,70.3,35.2,15.4,2.85,4.7,680,Hazardous
979,41.1,82.1,30.0,52.7,35.7,14.9,2.46,4.0,654,Poor
980,28.3,72.7,56.8,70.2,34.4,10.3,1.75,5.1,486,Poor
981,37.9,79.6,28.0,37.4,33.2,13.6,1.93,4.9,608,Poor
982,42.5,108.2,109.2,116.8,43.5,21.2,2.07,4.6,741,Hazardous
983,29.9,86.3,8.3,19.9,21.0,7.9,1.44,9.1,487,Moderate
984,32.0,101.4,60.3,78.5,45.4,25.0,3.01,4.3,698,Hazardous
985,33.8,53.7,11.2,30.1,25.8,10.6,1.23,5.3,640,Moderate
986,22.0,56.3,5.7,12.5,16.8,6.1,1.01,12.2,230,Good
987,21.3,41.7,6.9,10.9,21.2,3.7,1.0,12.8,298,Good
988,26.8,76.1,3.8,10.1,25.1,4.7,1.01,10.3,394,Good
989,22.6,70.7,0.8,7.4,26.3,1.8,1.07,10.8,481,Good
990,32.1,75.6,16.2,21.1,18.9,12.4,1.44,9.3,405,Moderate
991,35.2,86.4,47.2,61.0,21.7,13.8,2.24,3.7,514,Poor
992,46.1,80.5,42.3,58.5,32.1,28.4,2.4,2.7,705,Hazardous
993,29.2,54.0,2.5,8.7,27.7,10.5,1.4,5.7,327,Moderate
994,26.0,71.5,31.4,34.6,21.3,3.9,0.97,12.7,463,Good
995,45.2,93.2,51.2,79.2,35.4,23.3,2.16,3.7,565,Hazardous
996,22.6,40.8,4.6,10.6,20.9,5.7,1.11,12.6,315,Good
997,24.0,51.2,14.1,16.5,26.0,7.4,0.97,10.2,264,Good
998,27.4,77.3,12.9,21.1,16.4,15.8,1.81,8.0,406,Moderate
999,32.6,79.6,42.8,51.4,14.1,13.3,1.55,7.5,633,Moderate
1000,22.2,57.5,3.6,5.6,16.7,7.6,0.86,11.6,460,Good
1001,31.4,63.1,4.3,15.6,21.9,16.4,1.45,5.9,625,Moderate
1002,26.1,83.8,33.2,36.9,23.6,2.7,0.82,19.1,310,Good
1003,25.1,63.9,5.0,8.8,17.3,6.3,1.12,11.0,367,Good
1004,41.2,92.2,36.1,49.5,42.2,17.1,2.39,2.7,815,Hazardous
1005,37.1,47.9,18.1,26.7,20.4,14.7,1.53,10.3,467,Moderate
1006,25.8,53.0,14.7,20.4,13.2,5.7,0.82,11.1,259,Good
1007,30.4,44.2,7.8,11.4,22.0,5.9,0.92,11.3,446,Good
1008,35.6,82.5,1.8,11.9,20.6,14.6,1.63,10.1,672,Moderate
1009,28.2,75.4,1.2,13.0,35.9,2.6,1.42,5.5,539,Moderate
1010,22.6,69.0,1.2,7.7,12.2,5.6,1.18,11.8,481,Good
1011,16.9,72.9,1.3,0.2,27.6,6.4,0.97,13.7,339,Good
1012,15.3,48.0,16.6,20.7,26.5,3.9,0.94,12.5,263,Good
1013,38.0,84.6,34.2,62.4,43.8,17.8,2.62,6.7,598,Hazardous
1014,28.6,67.5,0.2,4.9,19.0,4.5,1.04,11.4,444,Good
1015,37.6,99.5,142.3,157.1,36.3,20.8,1.82,2.8,528,Hazardous
1016,16.8,46.5,7.7,10.2,26.2,4.2,0.85,11.6,249,Good
1017,24.8,39.7,5.0,13.2,20.3,5.8,1.1,10.5,418,Good
1018,27.1,76.4,8.0,13.0,21.7,3.4,0.86,10.0,407,Good
1019,30.0,78.0,9.7,14.5,15.5,7.2,1.05,12.3,554,Good
1020,27.5,65.9,19.3,31.5,24.6,7.2,1.74,5.4,609,Moderate
1021,34.9,80.9,21.4,32.8,50.8,16.6,2.11,3.8,797,Hazardous
1022,28.4,54.4,5.5,17.5,29.1,12.2,1.5,7.3,663,Moderate
1023,22.7,79.5,1.0,8.1,12.2,6.5,1.03,12.4,439,Good
1024,20.3,52.3,2.0,6.0,25.1,4.7,0.95,13.4,277,Good
1025,35.3,71.2,12.9,39.3,34.8,14.1,2.42,5.7,401,Poor
1026,21.8,72.4,4.0,7.5,19.4,-0.3,1.15,12.2,490,Good
1027,32.8,51.2,23.8,29.2,35.6,7.4,1.48,8.9,586,Moderate
1028,38.7,72.4,3.4,23.9,25.4,22.6,2.27,3.9,765,Poor
1029,37.6,47.8,45.5,49.8,27.7,13.9,1.25,10.3,511,Moderate
1030,29.4,73.1,11.7,28.0,24.5,13.2,1.51,8.0,459,Moderate
1031,38.8,64.6,21.5,31.9,21.2,9.0,1.48,5.8,545,Moderate
1032,30.5,74.7,17.5,22.8,26.3,9.9,1.61,7.9,441,Moderate
1033,23.3,81.8,27.0,34.6,33.4,14.0,1.65,5.3,505,Moderate
1034,31.3,49.2,7.2,14.9,29.3,11.9,1.37,6.7,340,Moderate
1035,26.5,42.4,4.7,14.1,18.0,1.7,0.94,12.0,457,Good
1036,20.7,77.0,15.2,20.3,15.8,3.7,0.96,16.0,368,Good
1037,21.6,46.5,6.5,15.7,21.8,7.8,1.03,15.0,602,Good
1038,26.0,64.3,22.6,38.3,33.3,14.4,1.48,7.0,359,Moderate
1039,28.1,65.8,3.1,8.6,14.6,5.2,0.86,10.9,370,Good
1040,27.4,61.2,24.3,32.1,23.8,4.8,0.98,11.6,345,Good
1041,21.9,60.3,0.0,3.1,20.0,3.0,0.92,10.3,396,Good
1042,21.8,70.4,16.5,22.3,24.1,1.9,0.94,12.3,420,Good
1043,40.0,84.4,47.0,59.3,22.4,3.1,1.51,6.0,453,Moderate
1044,19.8,75.8,1.5,6.7,28.9,10.9,0.94,6.7,636,Moderate
1045,29.3,64.2,18.7,27.4,32.1,10.8,1.52,6.6,392,Moderate
1046,29.8,67.7,3.6,12.7,17.0,6.8,1.01,13.7,550,Good
1047,25.5,63.0,29.1,38.7,28.8,4.7,1.32,5.9,527,Moderate
1048,38.2,54.8,43.9,53.5,21.1,9.0,1.47,5.0,485,Moderate
1049,47.3,75.6,75.8,92.0,36.3,17.4,1.76,5.0,503,Poor
1050,29.4,64.5,0.7,4.7,16.4,4.7,1.1,11.1,520,Good
1051,47.2,76.9,1.5,27.0,34.4,20.2,2.45,6.0,939,Hazardous
1052,29.6,73.6,2.3,8.1,26.0,0.2,1.12,11.9,490,Good
1053,28.4,71.7,13.3,15.0,16.8,8.2,1.11,11.4,360,Good
1054,33.2,84.3,106.5,127.3,34.7,11.8,2.29,3.8,586,Poor
1055,26.3,49.6,6.0,8.9,24.2,9.8,1.06,10.6,199,Good
1056,30.7,102.0,7.9,26.1,41.6,26.1,2.31,4.8,765,Hazardous
1057,27.5,85.0,57.1,72.3,33.7,9.6,1.86,5.4,537,Moderate
1058,21.0,94.7,7.6,16.7,35.6,9.9,1.7,5.2,388,Poor
1059,34.5,60.8,37.1,47.4,28.7,9.1,2.04,3.4,484,Poor
1060,33.7,83.2,1.6,25.2,34.3,12.0,2.59,6.2,551,Poor
1061,36.4,58.0,18.3,23.6,30.5,13.7,1.49,5.1,363,Moderate
1062,33.5,44.8,36.7,44.4,21.0,9.7,1.23,10.1,547,Moderate
1063,34.9,66.8,8.4,20.7,32.8,11.8,1.21,8.2,623,Moderate
1064,37.8,74.6,19.6,29.0,22.2,12.7,1.4,5.2,417,Moderate
1065,23.1,71.0,4.9,9.9,17.7,4.4,1.01,11.8,342,Good
1066,29.0,39.7,8.9,16.2,26.2,4.2,0.97,15.0,250,Good
1067,24.4,63.7,31.1,34.2,16.4,-0.2,0.99,10.7,501,Good
1068,25.8,78.2,14.0,20.2,23.3,6.6,1.01,18.8,576,Good
1069,26.2,64.3,16.2,19.4,18.5,9.0,1.08,11.3,566,Good
1070,31.5,61.9,105.9,105.0,22.4,4.8,1.16,6.1,577,Moderate
1071,24.4,44.8,4.1,7.4,23.7,4.0,0.91,11.9,241,Good
1072,31.4,79.4,55.7,62.7,24.1,11.5,1.46,7.8,361,Moderate
1073,26.7,72.4,4.2,16.3,18.9,11.7,1.45,12.0,527,Moderate
1074,29.7,54.0,0.2,7.6,15.6,4.4,0.93,10.8,401,Good
1075,23.6,47.8,3.8,6.4,14.0,3.3,1.09,10.4,209,Good
1076,32.2,62.7,1.5,7.6,19.7,4.3,0.95,10.3,348,Good
1077,24.9,66.8,7.0,11.8,24.5,8.9,0.93,10.2,388,Good
1078,42.8,78.6,31.8,44.5,32.4,26.0,1.98,3.8,598,Poor
1079,32.4,56.0,3.3,15.6,28.8,6.5,1.49,7.6,506,Moderate
1080,33.3,64.4,17.0,33.1,25.1,10.6,1.39,5.9,511,Moderate
1081,27.5,55.4,32.5,47.0,22.1,12.7,1.66,5.2,298,Moderate
1082,34.1,67.9,40.1,47.1,34.6,1.0,1.72,9.5,462,Moderate
1083,39.4,109.1,34.9,56.8,36.1,3.1,2.02,5.7,454,Poor
1084,32.7,62.6,50.5,66.6,31.5,9.2,1.26,7.1,473,Moderate
1085,36.3,84.9,5.3,14.1,33.0,16.5,1.9,5.3,718,Poor
1086,36.3,70.0,58.7,71.9,42.1,12.1,2.37,3.9,539,Poor
1087,24.2,68.2,2.0,6.3,20.3,8.2,1.04,10.5,267,Good
1088,36.4,82.7,19.7,36.6,39.2,15.9,1.72,9.0,782,Poor
1089,24.6,58.0,7.5,19.0,25.7,3.4,1.57,12.7,617,Moderate
1090,33.4,80.2,10.3,32.4,40.3,12.9,1.36,2.6,597,Hazardous
1091,28.6,83.7,2.5,9.1,24.5,17.5,1.38,6.3,466,Moderate
1092,18.8,46.7,0.6,5.5,13.4,7.0,1.01,11.5,484,Good
1093,34.6,75.7,3.7,27.7,32.2,3.9,1.91,3.6,703,Poor
1094,24.1,60.2,6.3,12.2,30.8,17.6,1.44,8.0,353,Moderate
1095,33.6,57.0,3.4,8.2,17.6,3.5,1.12,13.1,297,Good
1096,42.7,70.1,123.7,128.1,28.7,2.4,1.89,4.2,765,Poor
1097,34.4,75.8,7.2,22.6,35.5,12.0,1.42,9.5,582,Moderate
1098,26.7,61.9,11.8,16.3,13.0,6.3,0.85,16.7,361,Good
1099,32.7,79.1,17.2,29.7,23.9,17.0,1.25,7.5,504,Moderate
1100,31.8,86.3,2.6,14.8,38.6,17.7,2.07,3.7,551,Poor
1101,24.1,52.5,8.2,9.5,22.3,3.5,0.82,11.5,511,Good
1102,25.2,88.9,22.3,44.2,34.1,17.5,2.33,4.4,578,Poor
1103,43.0,96.5,14.6,38.1,39.7,17.3,2.17,5.4,591,Hazardous
1104,39.9,112.1,37.2,54.7,50.8,21.8,2.58,2.8,556,Hazardous
1105,28.6,91.5,61.2,82.7,39.5,7.5,1.97,4.6,639,Poor
1106,30.1,89.5,26.2,38.9,45.4,19.1,2.18,4.2,658,Poor
1107,33.7,72.5,6.9,22.6,22.8,16.2,1.48,8.5,644,Moderate
1108,30.4,72.9,10.9,25.7,29.3,8.9,1.58,5.3,655,Moderate
1109,29.5,62.3,3.4,12.5,17.9,6.7,1.05,10.5,439,Good
1110,28.4,45.1,9.7,15.9,23.0,6.5,0.99,12.6,303,Good
1111,44.6,94.9,78.9,98.3,40.6,23.9,2.44,4.3,670,Hazardous
1112,30.0,85.3,9.2,18.2,25.8,5.2,1.42,10.2,503,Moderate
1113,24.7,68.9,4.2,11.1,14.8,2.4,1.06,15.9,475,Good
1114,28.6,71.9,4.1,17.7,44.3,4.1,1.48,4.9,780,Poor
1115,32.3,87.0,54.7,69.9,56.1,26.6,2.5,2.7,801,Hazardous
1116,23.5,76.1,0.2,7.4,26.9,3.4,0.9,11.2,277,Good
1117,38.0,70.6,100.0,117.5,32.4,7.0,2.4,4.1,477,Poor
1118,31.8,67.3,17.7,23.4,22.1,9.6,2.49,5.9,689,Poor
1119,24.2,41.4,22.6,31.1,24.7,3.7,1.05,11.2,257,Good
1120,21.6,77.6,5.0,10.6,17.6,2.5,0.94,11.0,591,Good
1121,29.3,77.1,14.5,19.8,14.0,2.9,1.07,11.6,361,Good
1122,29.2,77.9,12.9,21.4,24.7,12.6,1.39,6.4,640,Moderate
1123,26.1,38.4,0.4,5.4,20.9,3.1,1.12,11.1,387,Good
1124,31.2,53.7,29.4,43.3,29.6,15.4,1.44,8.3,432,Moderate
1125,33.7,88.9,10.2,19.0,23.8,-0.3,1.7,8.3,405,Moderate
1126,35.5,109.1,77.1,94.8,34.2,21.5,2.42,2.5,870,Hazardous
1127,22.9,74.4,0.0,1.9,15.7,3.7,0.9,10.3,390,Good
1128,33.8,88.3,7.6,13.1,26.7,5.6,1.44,5.9,654,Moderate
1129,33.4,98.5,42.7,57.5,47.9,14.3,2.66,2.6,788,Hazardous
1130,35.8,65.9,58.2,83.7,40.2,13.8,2.09,4.1,413,Poor
1131,37.0,71.8,23.2,38.6,35.4,22.9,1.82,3.4,516,Poor
1132,22.8,60.1,11.1,14.9,14.8,3.2,1.11,10.8,525,Good
1133,51.3,58.0,31.2,48.3,34.3,11.5,3.32,2.6,538,Hazardous
1134,32.5,55.8,1.0,13.5,34.3,9.7,1.84,6.0,325,Moderate
1135,29.2,65.3,30.6,34.2,22.6,6.0,1.11,16.0,334,Good
1136,31.2,76.6,23.0,36.0,23.4,12.5,1.39,6.2,384,Moderate
1137,37.2,65.7,1.8,20.4,45.2,14.6,1.45,5.1,506,Poor
1138,27.6,89.6,14.9,33.8,24.3,8.7,1.53,6.3,582,Moderate
1139,26.8,58.5,39.0,46.5,27.4,8.6,1.59,5.5,466,Moderate
1140,38.3,103.6,12.4,27.7,25.4,11.0,1.87,3.8,441,Poor
1141,25.2,61.7,27.9,33.6,12.7,5.5,1.08,11.9,300,Good
1142,21.7,74.1,57.2,74.9,20.9,7.1,1.63,5.0,580,Moderate
1143,24.6,42.6,12.0,15.2,17.2,5.6,1.2,10.9,516,Good
1144,35.1,78.2,14.0,32.1,28.3,3.0,1.98,3.7,597,Poor
1145,22.3,41.6,11.6,16.2,15.3,2.1,1.04,12.2,236,Good
1146,30.6,76.2,1.5,15.1,32.6,29.2,1.87,8.4,715,Poor
1147,23.8,65.2,9.9,14.2,14.6,4.9,0.97,10.7,331,Good
1148,35.5,71.8,7.4,27.5,33.8,22.6,1.91,3.9,676,Poor
1149,27.4,69.9,5.9,9.5,25.2,5.7,0.89,11.9,589,Good
1150,34.3,84.1,12.2,21.4,17.4,13.6,1.29,5.9,626,Moderate
1151,37.0,80.1,35.2,49.4,41.1,21.2,1.84,5.3,469,Poor
1152,37.2,94.4,20.8,37.1,29.5,10.8,1.66,8.3,531,Poor
1153,20.0,61.2,11.1,17.2,24.2,2.6,1.08,11.3,209,Good
1154,24.6,62.9,0.6,2.6,29.2,4.8,0.99,11.2,387,Good
1155,23.9,42.1,19.2,25.4,16.8,5.2,1.12,11.6,352,Good
1156,41.0,60.7,26.9,56.7,38.4,13.0,2.25,3.5,673,Poor
1157,22.3,82.6,36.7,44.8,31.4,6.5,1.56,5.4,350,Moderate
1158,40.0,90.4,5.4,24.6,36.4,15.3,1.85,4.8,561,Poor
1159,28.0,45.2,7.3,9.7,24.1,2.2,1.13,12.7,286,Good
1160,36.5,62.0,42.7,54.8,25.3,21.7,2.48,3.5,623,Poor
1161,31.3,56.1,2.3,11.6,21.1,9.0,1.41,10.9,588,Moderate
1162,30.0,67.1,2.2,7.8,39.2,17.0,2.0,5.2,793,Poor
1163,27.4,77.3,0.7,12.2,25.3,5.3,1.57,10.8,477,Moderate
1164,31.6,81.1,18.7,30.0,31.6,12.3,1.45,5.5,664,Moderate
1165,25.7,71.4,13.9,18.5,22.2,6.4,1.41,7.7,520,Moderate
1166,22.3,49.8,14.4,18.5,16.5,4.3,1.1,15.4,500,Good
1167,22.7,73.0,33.6,38.6,30.8,14.2,1.72,10.7,576,Moderate
1168,48.9,62.0,12.2,35.7,45.4,22.7,2.27,2.7,865,Hazardous
1169,37.9,71.0,5.6,21.0,49.8,34.5,3.0,5.0,537,Hazardous
1170,28.1,64.0,11.7,13.8,15.4,3.4,0.93,11.5,373,Good
1171,23.5,74.5,1.7,5.9,25.3,4.9,1.01,12.4,312,Good
1172,30.7,66.4,16.6,24.4,23.3,9.5,1.53,9.5,379,Moderate
1173,30.4,90.1,4.9,20.7,45.0,23.5,2.29,3.6,681,Hazardous
1174,38.0,77.7,49.8,65.9,42.7,17.2,2.02,6.2,750,Hazardous
1175,34.1,74.6,27.0,47.6,22.4,27.2,2.57,3.5,732,Poor
1176,32.0,75.0,2.5,12.8,32.3,4.3,1.39,5.6,546,Moderate
1177,31.5,72.2,31.2,62.0,32.2,16.1,2.7,3.1,747,Hazardous
1178,32.0,84.4,30.3,39.1,40.4,21.2,1.99,6.2,454,Poor
1179,27.3,61.6,0.6,2.3,14.0,4.2,0.87,19.0,465,Good
1180,27.7,69.4,0.8,8.4,14.3,4.1,0.86,13.4,425,Good
1181,24.0,65.5,3.6,9.1,25.2,6.7,0.97,14.1,387,Good
1182,28.7,75.2,3.4,7.9,23.3,5.0,0.83,10.3,425,Good
1183,25.3,47.1,23.5,28.9,12.5,5.9,1.19,10.9,223,Good
1184,31.2,71.9,56.5,74.2,29.9,11.8,2.14,4.0,602,Poor
1185,34.3,94.8,12.6,30.7,52.7,17.5,2.02,4.5,934,Hazardous
1186,37.3,85.0,9.6,23.9,31.2,16.2,2.22,4.9,592,Poor
1187,32.4,76.4,22.2,30.0,23.0,10.2,1.47,7.6,331,Moderate
1188,21.6,50.3,3.0,6.7,22.7,3.3,1.0,10.1,223,Good
1189,22.1,73.9,4.6,14.5,32.4,22.2,2.1,6.8,492,Poor
1190,23.3,80.6,8.6,11.2,17.2,6.7,1.02,10.9,511,Good
1191,48.8,92.0,2.4,24.9,38.2,16.9,2.84,3.7,664,Hazardous
1192,26.4,52.2,18.0,25.6,22.8,5.9,1.12,10.4,539,Good
1193,28.7,41.0,5.9,10.7,19.7,8.0,1.01,11.6,387,Good
1194,39.6,87.7,2.8,12.5,28.9,2.8,2.05,3.8,692,Poor
1195,30.3,88.4,34.6,49.5,25.8,22.5,1.48,3.4,583,Poor
1196,28.3,59.6,26.3,36.6,17.7,9.4,1.45,6.0,278,Moderate
1197,29.7,88.0,3.9,13.9,36.8,10.3,1.7,6.9,457,Moderate
1198,32.4,95.7,0.7,5.8,43.0,21.2,1.87,3.9,525,Poor
1199,31.2,84.0,28.6,39.4,24.6,12.2,1.3,6.4,438,Moderate
1200,27.7,56.2,6.1,17.1,19.2,11.9,1.61,5.6,507,Moderate
1201,23.1,58.3,3.2,7.3,12.9,5.9,1.03,11.9,295,Good
1202,18.0,52.5,5.3,11.4,16.8,3.4,0.9,12.2,550,Good
1203,39.1,84.8,4.6,19.1,33.3,5.9,2.11,5.1,620,Poor
1204,25.6,79.9,2.3,5.6,22.3,7.1,0.87,10.5,516,Good
1205,20.3,67.1,8.6,12.0,10.7,3.3,0.97,10.3,286,Good
1206,39.2,84.3,80.5,107.9,32.5,24.6,2.37,4.8,450,Poor
1207,20.3,77.6,12.1,19.5,18.0,6.1,0.89,14.2,308,Good
1208,32.2,69.4,1.5,14.1,24.3,12.5,1.89,5.7,481,Moderate
1209,28.5,71.0,6.7,13.1,21.8,4.0,0.97,13.1,510,Good
1210,25.4,76.7,10.3,19.4,22.7,10.5,1.19,7.8,609,Moderate
1211,38.4,73.3,78.9,94.5,23.9,23.0,2.03,4.1,615,Poor
1212,31.9,66.3,38.8,40.0,30.6,9.3,1.55,6.2,381,Moderate
1213,44.2,79.7,4.9,23.6,34.4,18.1,1.76,4.1,724,Poor
1214,44.4,70.0,7.1,19.5,23.3,11.6,1.71,5.1,762,Poor
1215,28.8,49.0,0.4,9.3,35.2,7.3,1.43,5.4,553,Moderate
1216,53.1,57.3,72.3,84.6,45.0,6.4,1.95,3.2,857,Hazardous
1217,32.4,57.8,18.0,29.1,26.1,9.8,1.71,7.4,299,Moderate
1218,25.1,54.5,13.9,16.1,21.2,6.5,1.02,10.4,300,Good
1219,23.8,42.1,2.5,7.3,15.1,3.8,1.12,12.8,529,Good
1220,26.3,91.1,142.3,157.0,30.5,6.5,1.18,7.1,480,Moderate
1221,38.9,83.7,26.5,48.9,44.0,14.6,1.83,3.8,645,Poor
1222,32.2,55.6,9.9,20.0,25.2,14.1,1.75,6.1,516,Moderate
1223,33.9,63.1,2.2,11.7,21.1,17.9,2.55,8.9,680,Poor
1224,32.2,68.5,12.0,23.4,26.2,9.3,1.52,6.1,370,Moderate
1225,27.2,60.5,1.3,4.7,22.7,3.7,0.95,16.1,241,Good
1226,31.2,51.4,28.1,41.1,15.6,12.1,1.44,5.7,386,Moderate
1227,28.3,56.4,22.1,30.3,28.0,0.6,1.48,8.2,331,Moderate
1228,23.9,66.7,4.6,7.9,15.4,7.1,0.95,12.4,362,Good
1229,33.8,80.4,17.5,32.8,21.1,12.3,1.51,5.0,361,Moderate
1230,49.6,79.9,13.4,26.4,37.8,28.8,2.71,3.3,639,Hazardous
1231,32.3,72.8,3.4,30.6,42.3,2.8,2.04,4.5,636,Hazardous
1232,43.0,83.1,58.2,80.2,34.7,9.1,1.88,6.0,375,Poor
1233,34.7,80.3,2.8,10.9,17.2,8.8,1.56,5.2,324,Moderate
1234,37.7,107.5,22.7,53.0,37.1,25.3,2.58,5.1,543,Hazardous
1235,24.6,42.1,0.9,10.3,23.4,9.1,0.83,11.5,545,Good
1236,29.5,79.8,12.8,29.8,33.2,13.3,1.1,5.9,389,Moderate
1237,27.7,60.2,0.4,5.7,25.3,6.2,1.05,12.9,218,Good
1238,26.8,98.6,0.9,21.6,34.8,12.9,2.0,6.6,712,Poor
1239,30.1,75.1,20.5,33.4,28.2,5.4,1.44,6.2,648,Moderate
1240,22.3,65.7,1.0,5.7,26.8,3.5,0.91,13.3,282,Good
1241,28.0,86.9,7.1,16.5,19.6,7.8,1.77,5.7,665,Moderate
1242,35.4,75.0,10.0,18.8,24.0,13.6,1.5,6.2,390,Moderate
1243,36.0,75.3,43.4,59.5,35.1,22.1,1.97,3.6,468,Poor
1244,27.1,74.1,4.7,8.7,25.3,5.9,1.0,13.5,555,Good
1245,24.9,66.0,5.4,7.5,25.0,0.7,1.09,10.9,263,Good
1246,23.2,69.7,5.8,14.1,24.6,3.5,0.97,12.3,579,Good
1247,34.9,63.0,59.7,69.2,29.5,8.2,1.07,5.2,568,Moderate
1248,44.8,97.8,35.2,58.0,38.3,29.6,2.8,6.3,816,Hazardous
1249,41.3,90.6,70.6,88.5,45.0,30.2,2.93,6.8,902,Hazardous
1250,33.5,82.9,21.9,45.6,37.1,20.9,1.72,4.7,591,Poor
1251,27.7,83.6,3.8,19.9,32.9,17.8,2.09,5.3,632,Poor
1252,38.6,111.4,9.9,20.0,36.3,22.5,1.74,7.5,591,Poor
1253,24.1,72.6,27.7,36.5,35.3,6.5,1.95,8.4,493,Moderate
1254,26.8,60.2,4.4,10.1,25.7,4.5,1.29,12.6,234,Good
1255,33.8,66.1,55.5,79.2,35.2,18.6,2.06,4.5,636,Poor
1256,18.5,57.3,7.7,11.1,22.8,4.7,1.1,10.2,600,Good
1257,30.3,69.4,41.8,51.2,22.5,5.8,1.57,6.1,434,Moderate
1258,23.8,44.4,7.5,11.9,23.1,3.1,0.9,11.5,602,Good
1259,24.8,39.8,58.4,68.2,26.5,3.7,0.93,16.5,397,Good
1260,26.8,83.0,53.4,69.0,17.6,15.2,1.82,7.5,668,Moderate
1261,26.5,51.7,0.7,5.3,10.7,7.1,1.05,10.2,555,Good
1262,33.4,52.7,53.5,63.4,26.5,10.0,1.32,12.4,329,Moderate
1263,31.6,100.3,6.4,21.2,43.5,14.5,1.79,8.1,558,Poor
1264,32.2,60.7,48.9,65.1,41.1,14.4,2.79,2.9,875,Hazardous
1265,39.1,66.8,9.7,21.2,34.1,5.4,2.33,6.6,679,Poor
1266,22.4,42.8,1.1,8.7,15.2,7.0,1.03,12.1,216,Good
1267,27.2,46.3,14.8,18.8,19.7,7.3,1.05,10.8,496,Good
1268,30.1,91.0,32.1,38.5,23.7,10.6,1.44,6.0,363,Moderate
1269,32.8,58.9,30.1,52.0,33.6,22.4,1.73,3.4,476,Poor
1270,29.6,76.1,31.0,48.7,51.2,9.3,2.7,2.9,788,Hazardous
1271,22.6,43.5,21.0,24.9,24.5,4.8,0.99,10.0,284,Good
1272,25.4,71.8,1.8,11.8,21.3,10.2,1.33,7.2,506,Moderate
1273,21.8,73.4,12.1,12.0,26.2,6.6,1.04,25.8,224,Good
1274,29.9,51.4,2.8,14.2,23.7,10.0,1.43,9.0,321,Moderate
1275,22.8,67.9,66.8,79.8,28.3,4.3,1.17,5.9,397,Moderate
1276,42.5,80.9,33.3,44.4,34.1,11.1,2.28,4.2,682,Poor
1277,37.4,105.6,22.8,44.9,31.1,9.5,2.68,3.6,563,Poor
1278,36.6,109.9,0.4,16.4,39.9,13.0,1.57,5.9,690,Poor
1279,29.1,77.1,61.8,76.5,28.5,8.4,1.71,5.7,591,Moderate
1280,29.7,72.2,9.0,10.4,19.6,5.6,1.09,10.6,409,Good
1281,29.9,84.5,11.5,24.0,22.2,7.7,1.69,5.1,424,Moderate
1282,22.8,52.5,10.8,16.0,15.5,9.5,1.07,11.2,489,Good
1283,35.9,69.9,6.2,17.2,34.0,12.5,2.18,7.0,447,Poor
1284,30.6,41.9,7.0,11.5,17.0,6.5,1.12,11.3,486,Good
